Starting FCEUX 2.2.2...
Loading /home/jimmy/.virtualenvs/mario/lib/python3.6/site-packages/ppaquette_gym_super_mario/roms/super-mario.nes...

 PRG ROM:    2 x 16KiB
 CHR ROM:    1 x  8KiB
 ROM CRC32:  0x9a2db086
 ROM MD5:  0xba39dde63ab209b1bc751e0535e72b18
 Mapper #:  0
 Mapper name: NROM
 Mirroring: Vertical
 Battery-backed: No
 Trained: No

Power on
Initializing video... Video Mode: 512 x 448 x 32 bpp 
Emulation speed 3200.0%
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 40 (1%)
Distance 41 (1%)
Distance 41 (1%)
Distance 41 (1%)
Distance 41 (1%)
Distance 42 (1%)
Distance 42 (1%)
Distance 42 (1%)
Distance 43 (1%)
Distance 43 (1%)
Distance 43 (1%)
Distance 44 (1%)
Distance 44 (1%)
Distance 44 (1%)
Distance 45 (1%)
Distance 45 (1%)
Distance 46 (1%)
Distance 46 (1%)
Distance 46 (1%)
Distance 47 (1%)
Distance 47 (1%)
Distance 47 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 47 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 48 (1%)
Distance 49 (2%)
Distance 49 (2%)
Distance 49 (2%)
Distance 49 (2%)
Distance 50 (2%)
Distance 50 (2%)
Distance 50 (2%)
Distance 51 (2%)
Distance 51 (2%)
Distance 51 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 52 (2%)
Distance 53 (2%)
Distance 53 (2%)
Distance 54 (2%)
Distance 54 (2%)
Distance 55 (2%)
Distance 56 (2%)
Distance 57 (2%)
Distance 57 (2%)
Distance 58 (2%)
Distance 59 (2%)
Distance 60 (2%)
Distance 61 (2%)
Distance 62 (2%)
Distance 63 (2%)
Distance 64 (2%)
Distance 64 (2%)
Distance 65 (2%)
Distance 66 (2%)
Distance 67 (2%)
Distance 67 (2%)
Distance 68 (2%)
Distance 69 (2%)
Distance 70 (2%)
Distance 71 (2%)
Distance 72 (2%)
Distance 73 (2%)
Distance 74 (2%)
Distance 75 (2%)
Distance 77 (2%)
Distance 78 (2%)
Distance 80 (2%)
Distance 82 (3%)
Distance 83 (3%)
Distance 85 (3%)
Distance 87 (3%)
Distance 88 (3%)
Distance 90 (3%)
Distance 92 (3%)
Distance 94 (3%)
Distance 95 (3%)
Distance 97 (3%)
Distance 98 (3%)
Distance 100 (3%)
Distance 102 (3%)
Distance 103 (3%)
Distance 105 (3%)
Distance 106 (3%)
Distance 108 (3%)
Distance 109 (3%)
Distance 110 (3%)
Distance 112 (3%)
Distance 113 (4%)
Distance 115 (4%)
Distance 116 (4%)
Distance 118 (4%)
Distance 119 (4%)
Distance 121 (4%)
Distance 122 (4%)
Distance 124 (4%)
Distance 125 (4%)
Distance 127 (4%)
Distance 128 (4%)
Distance 130 (4%)
Distance 131 (4%)
Distance 133 (4%)
Distance 134 (4%)
Distance 136 (4%)
Distance 137 (4%)
Distance 139 (4%)
Distance 140 (4%)
Distance 142 (4%)
Distance 144 (4%)
Distance 145 (4%)
Distance 147 (5%)
Distance 148 (5%)
Distance 150 (5%)
Distance 151 (5%)
Distance 152 (5%)
Distance 153 (5%)
Distance 154 (5%)
Distance 156 (5%)
Distance 157 (5%)
Distance 158 (5%)
Distance 160 (5%)
Distance 161 (5%)
Distance 163 (5%)
Distance 164 (5%)
Distance 165 (5%)
Distance 167 (5%)
Distance 168 (5%)
Distance 169 (5%)
Distance 171 (5%)
Distance 172 (5%)
Distance 173 (5%)
Distance 174 (5%)
Distance 175 (5%)
Distance 176 (5%)
Distance 177 (5%)
Distance 178 (6%)
Distance 178 (6%)
Distance 179 (6%)
Distance 180 (6%)
Distance 180 (6%)
Distance 181 (6%)
Distance 181 (6%)
Distance 181 (6%)
Distance 182 (6%)
Distance 182 (6%)
Distance 183 (6%)
Distance 183 (6%)
Distance 184 (6%)
Distance 184 (6%)
Distance 185 (6%)
Distance 185 (6%)
Distance 186 (6%)
Distance 187 (6%)
Distance 188 (6%)
Distance 188 (6%)
Distance 189 (6%)
Distance 190 (6%)
Distance 191 (6%)
Distance 192 (6%)
Distance 193 (6%)
Distance 193 (6%)
Distance 194 (6%)
Distance 195 (6%)
Distance 195 (6%)
Distance 196 (6%)
Distance 197 (6%)
Distance 198 (6%)
Distance 198 (6%)
Distance 199 (6%)
Distance 199 (6%)
Distance 200 (6%)
Distance 201 (6%)
Distance 202 (6%)
Distance 203 (6%)
Distance 204 (6%)
Distance 205 (6%)
Distance 206 (6%)
Distance 207 (6%)
Distance 208 (6%)
Distance 210 (7%)
Distance 211 (7%)
Distance 212 (7%)
Distance 214 (7%)
Distance 215 (7%)
Distance 217 (7%)
Distance 218 (7%)
Distance 220 (7%)
Distance 221 (7%)
Distance 222 (7%)
Distance 224 (7%)
Distance 225 (7%)
Distance 227 (7%)
Distance 228 (7%)
Distance 230 (7%)
Distance 231 (7%)
Distance 233 (7%)
Distance 234 (7%)
Distance 236 (7%)
Distance 237 (7%)
Distance 238 (7%)
Distance 240 (7%)
Distance 242 (8%)
Distance 243 (8%)
Distance 245 (8%)
Distance 246 (8%)
Distance 248 (8%)
Distance 250 (8%)
Distance 252 (8%)
Distance 253 (8%)
Distance 255 (8%)
Distance 257 (8%)
Distance 259 (8%)
Distance 260 (8%)
Distance 262 (8%)
Distance 264 (8%)
Distance 265 (8%)
Distance 267 (8%)
Distance 269 (8%)
Distance 271 (8%)
Distance 272 (8%)
Distance 274 (8%)
Distance 276 (9%)
Distance 278 (9%)
Distance 279 (9%)
Distance 281 (9%)
Distance 283 (9%)
Distance 285 (9%)
Distance 286 (9%)
Distance 288 (9%)
Distance 289 (9%)
Distance 291 (9%)
Distance 292 (9%)
Distance 293 (9%)
Distance 295 (9%)
Distance 296 (9%)
Distance 297 (9%)
Distance 298 (9%)
Distance 300 (9%)
Distance 301 (9%)
Distance 302 (9%)
Distance 303 (9%)
Distance 305 (9%)
Distance 306 (9%)
Distance 307 (10%)
Distance 309 (10%)
Distance 310 (10%)
Distance 311 (10%)
Distance 313 (10%)
Distance 314 (10%)
Distance 315 (10%)
Distance 317 (10%)
Distance 318 (10%)
Distance 319 (10%)
Distance 320 (10%)
Distance 322 (10%)
Distance 323 (10%)
Distance 324 (10%)
Distance 325 (10%)
Distance 326 (10%)
Distance 328 (10%)
Distance 329 (10%)
Distance 330 (10%)
Distance 331 (10%)
Distance 332 (10%)
Distance 334 (10%)
Distance 335 (10%)
Distance 336 (10%)
Distance 337 (10%)
Distance 338 (10%)
Distance 339 (11%)
Distance 340 (11%)
Distance 341 (11%)
Distance 342 (11%)
Distance 344 (11%)
Distance 345 (11%)
Distance 346 (11%)
Distance 348 (11%)
Distance 349 (11%)
Distance 351 (11%)
Distance 352 (11%)
Distance 354 (11%)
Distance 355 (11%)
Distance 357 (11%)
Distance 358 (11%)
Distance 360 (11%)
Distance 361 (11%)
Distance 363 (11%)
Distance 364 (11%)
Distance 366 (11%)
Distance 367 (11%)
Distance 368 (11%)
Distance 370 (11%)
Distance 371 (12%)
Distance 372 (12%)
Distance 373 (12%)
Distance 374 (12%)
Distance 375 (12%)
Distance 376 (12%)
Distance 378 (12%)
Distance 379 (12%)
Distance 380 (12%)
Distance 381 (12%)
Distance 383 (12%)
Distance 384 (12%)
Distance 385 (12%)
Distance 386 (12%)
Distance 387 (12%)
Distance 388 (12%)
Distance 389 (12%)
Distance 390 (12%)
Distance 391 (12%)
Distance 392 (12%)
Distance 393 (12%)
Distance 394 (12%)
Distance 395 (12%)
Distance 396 (12%)
Distance 397 (12%)
Distance 398 (12%)
Distance 399 (12%)
Distance 400 (12%)
Distance 401 (12%)
Distance 402 (12%)
Distance 403 (12%)
Distance 404 (13%)
Distance 405 (13%)
Distance 406 (13%)
Distance 407 (13%)
Distance 408 (13%)
Distance 409 (13%)
Distance 411 (13%)
Distance 412 (13%)
Distance 413 (13%)
Distance 414 (13%)
Distance 416 (13%)
Distance 417 (13%)
Distance 419 (13%)
Distance 420 (13%)
Distance 421 (13%)
Distance 422 (13%)
Distance 423 (13%)
Distance 425 (13%)
Distance 426 (13%)
Distance 427 (13%)
Distance 428 (13%)
Distance 429 (13%)
Distance 430 (13%)
Distance 431 (13%)
Distance 432 (13%)
Distance 433 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 434 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 435 (13%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 436 (14%)
Distance 437 (14%)
Distance 437 (14%)
Distance 437 (14%)
Distance 438 (14%)
Distance 439 (14%)
Distance 439 (14%)
Distance 440 (14%)
Distance 441 (14%)
Distance 442 (14%)
Distance 443 (14%)
Distance 444 (14%)
Distance 445 (14%)
Distance 446 (14%)
Distance 446 (14%)
Distance 447 (14%)
Distance 448 (14%)
Distance 448 (14%)
Distance 449 (14%)
Distance 450 (14%)
Distance 451 (14%)
Distance 452 (14%)
Distance 453 (14%)
Distance 454 (14%)
Distance 455 (14%)
Distance 456 (14%)
Distance 456 (14%)
Distance 457 (14%)
Distance 458 (14%)
Distance 459 (14%)
Distance 460 (14%)
Distance 461 (14%)
Distance 462 (14%)
Distance 463 (14%)
Distance 464 (14%)
Distance 464 (14%)
Distance 465 (14%)
Distance 465 (14%)
Distance 465 (14%)
Distance 465 (14%)
Distance 465 (14%)
Distance 465 (14%)
Distance 465 (14%)
Distance 465 (14%)
Distance 465 (14%)
Distance 464 (14%)
Distance 464 (14%)
Distance 464 (14%)
Distance 463 (14%)
Distance 463 (14%)
Distance 462 (14%)
Distance 462 (14%)
Distance 462 (14%)
Distance 461 (14%)
Distance 461 (14%)
Distance 461 (14%)
Distance 460 (14%)
Distance 460 (14%)
Distance 459 (14%)
Distance 459 (14%)
Distance 458 (14%)
Distance 457 (14%)
Distance 456 (14%)
Distance 456 (14%)
Distance 454 (14%)
Distance 453 (14%)
Distance 452 (14%)
Distance 451 (14%)
Distance 450 (14%)
Distance 449 (14%)
Distance 448 (14%)
Distance 447 (14%)
Distance 446 (14%)
Distance 445 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 443 (14%)
Distance 443 (14%)
Distance 443 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 444 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
Distance 445 (14%)
